Name,Location,Category,CategoryJA,Address,Phone,Website,Notes
ムスリムフレンドリー スパイスカフェ,"34.699, 135.186",restaurant,飲食店,神戸市中央区北野町1-5-8,078-222-1234,,"ハラール, スパイス料理, 北野エリア"
神戸牛炭火焼肉 ぐりる,"34.696, 135.19",restaurant,飲食店,神戸市中央区中山手通1-24-1,078-271-2233,,"神戸牛焼肉, 英語メニュー"
神戸フルーツ・フラワーパーク 大沢（レストラン）,"34.834, 135.168",restaurant,飲食店,神戸市北区大沢町上大沢2150,078-954-1001,,"バイキング, 地元食材, 観光施設内"
中国料理 龍鳳 三宮,"34.6928, 135.192",restaurant,飲食店,神戸市中央区三宮町2-3-5,078-331-5566,,"本格中華, 飲茶, 英語メニュー"
モスバーガー 三宮OPA店,"34.6935, 135.1941",restaurant,飲食店,神戸市中央区三宮町1-7-2,078-321-4567,,"英語メニュー, ベジバーガー対応"
マクドナルド 三宮センタープラザ店,"34.6929, 135.1945",restaurant,飲食店,神戸市中央区三宮町1-10-1,078-331-3030,,"英語対応, 24時間営業, Wi-Fi"
スターバックス 神戸北野異人館店,"34.7008, 135.1848",restaurant,飲食店,神戸市中央区北野町3-1-31,078-230-6302,,"英語対応, 観光地内, Wi-Fi完備"
韓国料理 ソウル食堂 三宮,"34.692, 135.1898",restaurant,飲食店,神戸市中央区三宮町3-8-11,078-321-7788,,"韓国料理, チゲ, 英語メニュー"
ベトナム料理 フォービン 元町,"34.689, 135.183",restaurant,飲食店,神戸市中央区元町通3-15-6,078-333-2244,,"フォー, ベトナム料理, ベジタリアン対応"
タイ料理 バンコク 三宮,"34.6926, 135.196",restaurant,飲食店,神戸市中央区磯辺通3-1-8,078-241-9900,,"タイ料理, ハラール対応, スパイシー"
イタリアン ドルチェヴィータ 北野,"34.702, 135.183",restaurant,飲食店,神戸市中央区北野町4-6-5,078-271-5566,,"本格イタリアン, 北野エリア, ワイン充実"
フレンチレストラン ラ・メール,"34.68, 135.19",restaurant,飲食店,神戸市中央区波止場町2-2,078-327-1234,,"フランス料理, 海の眺め, ドレスコードあり"
ハンバーガー the 662,"34.6958, 135.188",restaurant,飲食店,神戸市中央区中山手通1-6-6,078-222-6620,,"神戸牛バーガー, アメリカンスタイル"
スシロー 神戸駒ケ林店,"34.672, 135.155",restaurant,飲食店,神戸市長田区駒ケ林町4-2-1,078-641-5511,,"回転寿司, 英語タッチパネル, リーズナブル"
吉野家 三宮店,"34.6938, 135.195",restaurant,飲食店,神戸市中央区三宮町1-3-2,078-325-5555,,"牛丼, 24時間営業, 英語メニュー"
ガスト 神戸三宮店,"34.693, 135.198",restaurant,飲食店,神戸市中央区磯辺通1-1-18,078-262-3355,,"ファミレス, 英語メニュー, 24時間"
バングラデシュ料理 ダッカキッチン,"34.6895, 135.178",restaurant,飲食店,神戸市中央区元町通6-1-8,078-341-2288,,"ハラール, バングラ料理, ネパール料理"
ネパール料理 エベレスト 三宮,"34.6915, 135.1905",restaurant,飲食店,神戸市中央区三宮町3-12-5,078-332-8877,,"ネパール料理, ダルバート, ハラール"
ムスリム対応ラーメン 清龍,"34.6995, 135.1855",restaurant,飲食店,神戸市中央区北野町2-8-4,078-241-6633,,"ハラールラーメン, 豚肉不使用"
カフェ・ドムール ハーバーランド,"34.6765, 135.1845",restaurant,飲食店,神戸市中央区東川崎町1-7-2,078-360-2211,,"カフェ, 港の眺め, Wi-Fi"
コメダ珈琲店 神戸三宮店,"34.6925, 135.1925",restaurant,飲食店,神戸市中央区三宮町2-8-1,078-321-3311,,"喫茶店, Wi-Fi, ゆったりくつろぎ"
マクドナルド 神戸空港店,"34.6328, 135.2238",restaurant,飲食店,神戸市中央区神戸空港1,078-304-3030,,"空港内, 英語対応"
サブウェイ 神戸三宮店,"34.6934, 135.1948",restaurant,飲食店,神戸市中央区三宮町1-6-1,078-325-5560,,"サンドウィッチ, ベジタリアン対応"
ケンタッキーフライドチキン 三宮東口店,"34.6942, 135.1975",restaurant,飲食店,神戸市中央区加納町4-3-1,078-331-8888,,"英語対応, ハラール不可"
フードコート 神戸ハーバーランドumie,"34.676, 135.184",restaurant,飲食店,神戸市中央区東川崎町1-7-2,078-382-7100,,"多国籍料理, ショッピングモール内"
JR三ノ宮駅,"34.6953, 135.1955",transport,交通,神戸市中央区三宮町1丁目,0570-00-2486,,"みどりの窓口, 外国語対応, ICカード, 新幹線連絡"
阪急神戸三宮駅,"34.6945, 135.1965",transport,交通,神戸市中央区加納町3-1-1,0570-089-500,,"英語案内, ICカード対応, 大阪梅田直通"
阪神神戸三宮駅,"34.694, 135.195",transport,交通,神戸市中央区三宮町1-1-1,06-6457-2222,,"ICカード, 大阪難波直通"
神戸市営地下鉄 三宮駅,"34.6935, 135.195",transport,交通,神戸市中央区三宮町1丁目,078-322-6724,,"ICカード, 市内全域連絡"
神戸空港（マリンエア）,"34.6328, 135.2238",transport,交通,神戸市中央区神戸空港1,078-304-7777,,"国内線, 両替所, 免税店, タクシー乗り場"
神戸港 ポートターミナル,"34.6669, 135.2099",transport,交通,神戸市中央区港島中町7-1-4,078-303-2100,,"国際フェリー, クルーズ船, 入国審査"
神戸市バス 三宮バスターミナル,"34.694, 135.194",transport,交通,神戸市中央区三宮町1丁目,078-771-5110,,"市内バス, 英語路線図あり"
神姫バス 三宮バスターミナル,"34.6945, 135.1945",transport,交通,神戸市中央区三宮町1-1-1,078-231-4892,,"高速バス, 関西各地"
ポートライナー 三宮駅,"34.694, 135.196",transport,交通,神戸市中央区三宮町1丁目,078-302-3110,,"空港連絡, 人工島アクセス, ICカード"
六甲ライナー マリンパーク駅,"34.71, 135.27",transport,交通,神戸市東灘区向洋町中3,078-857-9901,,"六甲アイランド, ICカード"
タクシー乗り場 JR三ノ宮駅東口,"34.6955, 135.1965",transport,交通,神戸市中央区三宮町1丁目,,,"24時間タクシー, 英語対応ドライバーあり"
神戸市レンタサイクル ポートアイランド,"34.668, 135.205",transport,交通,神戸市中央区港島中町,078-304-1003,,"レンタサイクル, 観光移動"
JR新神戸駅（新幹線）,"34.703, 135.193",transport,交通,神戸市中央区加納町1-3-1,0570-00-2486,,"新幹線, 東京・広島直通, みどりの窓口"
神戸市営地下鉄 新神戸駅,"34.7035, 135.1935",transport,交通,神戸市中央区加納町1丁目,078-322-6724,,"新幹線乗換, ICカード"
コインロッカー 三宮駅構内,"34.6945, 135.1955",transport,交通,神戸市中央区三宮町1丁目,,,"荷物預かり, 各サイズ, 観光前に便利"
神戸市役所 外国人相談窓口,"34.6942, 135.1957",admin,行政,神戸市中央区加納町6-5-1,078-322-5001,,"住民登録, 在留手続, 多言語相談窓口"
德永良雄行政書士事務所,"34.6901, 135.1956",admin,行政,神戸市中央区（要問合せ）,078-000-0000,mailto:info@second-penguin.com,"在留資格申請, 帰化申請, ビザ相談, バングラ語, ネパール語対応"
大阪入国管理局 神戸港出張所,"34.6802, 135.1878",admin,行政,神戸市中央区波止場町1-1,0570-013-904,,"在留手続き, 資格変更, ビザ延長, 在留カード"
神戸市 中央区役所,"34.6885, 135.193",admin,行政,神戸市中央区橘通1-4-3,078-232-4411,,"住民票, 印鑑登録, 外国人登録"
兵庫県国際交流協会（HYOGO-AI）,"34.686, 135.194",admin,行政,神戸市中央区山下町3-1,078-230-1451,https://www.hyogo-ip.or.jp,"多言語相談, 在住外国人支援, 生活情報"
神戸市外国語大学 留学生センター,"34.697, 135.106",admin,行政,神戸市西区学園東町9-1,078-794-8121,,"留学相談, 多言語支援"
神戸市立外国人学校（コリア国際学園）,"34.672, 135.154",admin,行政,神戸市長田区海運町4-4-1,078-611-8588,,"韓国語教育, コリアタウン近く"
領事館 中国総領事館 大阪（神戸対応）,"34.6941, 135.501",admin,行政,大阪市北区西天満2-3-3,06-6445-9481,,"ビザ申請, 領事業務（大阪対応）"
韓国総領事館 大阪（神戸対応）,"34.673, 135.498",admin,行政,大阪市中央区西心斎橋1-7-9,06-6213-1401,,"ビザ申請, 旅券（大阪対応）"
ハローワーク神戸（外国人雇用窓口）,"34.696, 135.198",admin,行政,神戸市中央区雲井通5-1-2,078-261-8609,,"就職支援, 在留資格確認, 外国人雇用"
神戸税関,"34.682, 135.193",admin,行政,神戸市中央区新港町12-1,078-333-3100,,"輸出入, 税関申告, 免税手続き"
神戸市 生田区役所（中央区）,"34.698, 135.186",admin,行政,神戸市中央区中山手通6-1-1,078-232-4411,,行政手続き全般
神戸市 兵庫区役所,"34.688, 135.162",admin,行政,神戸市兵庫区荒田町3-9-1,078-511-2111,,"住民票, 各種証明書"
神戸市 灘区役所,"34.718, 135.23",admin,行政,神戸市灘区桜口町4-2-1,078-843-7001,,"住民票, 各種手続き"
神戸市 東灘区役所,"34.723, 135.262",admin,行政,神戸市東灘区住吉東町5-2-1,078-841-4131,,"住民票, 各種手続き"
神戸市 須磨区役所,"34.647, 135.122",admin,行政,神戸市須磨区大黒町4-1-1,078-731-4341,,"住民票, 各種手続き"
神戸大学医学部附属病院,"34.6896, 135.1896",hospital,病院,神戸市中央区楠町7-5-2,078-382-5111,,"救急指定, 国際診療室, 外国語対応"
神戸市立医療センター中央市民病院,"34.6618, 135.2044",hospital,病院,神戸市中央区港島南町2-1-1,078-302-4321,https://www.kcho.jp,"救急指定, 24時間対応, 高度救命救急"
兵庫県立こども病院,"34.6625, 135.2054",hospital,病院,神戸市中央区港島南町1-6-7,078-945-7300,,"小児専門, 24時間救急"
神戸赤十字病院,"34.671, 135.2006",hospital,病院,神戸市中央区港島中町1-3-1,078-231-5981,,"救急指定, 輸血センター, 災害拠点病院"
神戸掖済会病院,"34.6922, 135.1868",hospital,病院,神戸市中央区橘通3-3-10,078-341-1321,,"救急指定, 海外旅行者対応"
神戸市立西市民病院,"34.682, 135.148",hospital,病院,神戸市長田区細田町3-3-1,078-576-5251,,"救急指定, 総合診療"
甲南病院,"34.7238, 135.2684",hospital,病院,神戸市東灘区岡本8-6-1,078-431-4101,,"救急対応, 内科外科"
神戸百年記念病院,"34.6285, 135.1237",hospital,病院,神戸市須磨区須磨浦通4-1-1,078-735-3000,,"内科, 外科, 整形外科"
神戸市立西神戸医療センター,"34.7142, 135.0905",hospital,病院,神戸市西区糀台6-1-1,078-929-1500,,"救急指定, 総合病院"
神戸海星病院,"34.7173, 135.2181",hospital,病院,神戸市灘区岩屋北町3-11-15,078-871-5201,,"内科, 外科, 産婦人科"
神戸協同病院,"34.672, 135.148",hospital,病院,神戸市長田区大谷町2-3-1,078-611-3984,,"救急対応, 内科"
垂水病院,"34.6337, 134.9818",hospital,病院,神戸市垂水区日向2-5-1,078-754-2233,,"内科, 外科"
神戸労災病院,"34.663, 135.203",hospital,病院,神戸市中央区港島南町1-4-7,078-302-2131,,"救急指定, 整形外科, 外傷"
兵庫県立加古川医療センター分院（神戸西）,"34.698, 135.063",hospital,病院,神戸市西区伊川谷町有瀬322,078-997-2200,,"救急指定, 総合診療"
神戸低侵襲がん医療センター,"34.661, 135.204",hospital,病院,神戸市中央区港島南町2-2-2,078-302-7000,,"がん専門, 最先端治療"
マツモトキヨシ 三宮センタープラザ店,"34.6929, 135.1945",pharmacy,薬局,神戸市中央区三宮町1-10-1,078-331-1772,https://www.matsumotokiyoshi.com,"免税対応, 英語対応, 外国語スタッフ, 化粧品充実"
ウエルシア薬局 神戸元町店,"34.6897, 135.1851",pharmacy,薬局,神戸市中央区元町通1-7-1,078-391-2111,,"処方箋調剤, 英語対応"
ツルハドラッグ 神戸北野坂店,"34.6979, 135.1878",pharmacy,薬局,神戸市中央区山本通3-1-5,078-241-1882,,"観光地近く, 免税手続き"
スギ薬局 三宮店,"34.6935, 135.197",pharmacy,薬局,神戸市中央区磯辺通2-1-8,078-271-3300,,"調剤薬局, 処方箋対応"
ドラッグセイムス 神戸兵庫店,"34.682, 135.162",pharmacy,薬局,神戸市兵庫区駅前通1-3-4,078-681-2200,,"調剤, 日用品"
マツモトキヨシ 神戸元町駅前店,"34.6893, 135.1831",pharmacy,薬局,神戸市中央区元町通2-3-1,078-321-4455,,"免税対応, 化粧品"
ウエルシア 神戸灘店,"34.7135, 135.2288",pharmacy,薬局,神戸市灘区大石東町1-1-1,078-843-2200,,"調剤薬局, 処方箋"
トモズ 三宮店,"34.694, 135.195",pharmacy,薬局,神戸市中央区三宮町1-5-3,078-321-5500,,"外国語対応, 免税, 英語スタッフ"
コクミン薬局 三宮店,"34.693, 135.192",pharmacy,薬局,神戸市中央区三宮町2-11-1,078-331-3300,,"調剤, 市販薬充実"
ドラッグストアコスモス 神戸垂水店,"34.6337, 134.9818",pharmacy,薬局,神戸市垂水区日向1-1-1,078-755-0021,,"大型店舗, 日用品充実"
セブン銀行ATM（セブンイレブン三宮駅前店）,"34.6924, 135.1952",atm,ATM,神戸市中央区磯辺通3-2-16,,,"24時間, 国際カード, VISA/Master/JCB/Amex"
セブン銀行ATM（三ノ宮駅構内）,"34.6953, 135.1955",atm,ATM,神戸市中央区三宮町1-1-1,,,"24時間, 国際カード対応"
ゆうちょ銀行ATM 神戸中央郵便局,"34.6873, 135.1936",atm,ATM,神戸市中央区橘通1-4-2,0120-108-420,,"国際カード対応, Cirrus/PLUS"
みずほ銀行ATM 三宮支店,"34.693, 135.1927",atm,ATM,神戸市中央区三宮町1-4-3,,,VISA/PLUS/Cirrus/Maestro
三菱UFJ銀行ATM 神戸三宮支店,"34.6925, 135.194",atm,ATM,神戸市中央区三宮町1-6-3,,,"VISA/Plus/Cirrus, 国際送金"
三井住友銀行ATM 神戸支店,"34.6918, 135.192",atm,ATM,神戸市中央区三宮町2-1-1,,,VISA/Plus/Cirrus
ローソン銀行ATM（ローソン神戸元町店）,"34.6893, 135.1831",atm,ATM,神戸市中央区元町通2-1-5,,,"24時間, 国際カード"
セブン銀行ATM（セブンイレブン神戸メリケンパーク前店）,"34.68, 135.19",atm,ATM,神戸市中央区波止場町3-1,,,"24時間, 国際カード"
イオン銀行ATM イオン神戸南店,"34.667, 135.204",atm,ATM,神戸市中央区港島中町6-1-1,,,"VISA/Master, イオンモール内"
ゆうちょ銀行ATM 神戸北野郵便局,"34.699, 135.187",atm,ATM,神戸市中央区山本通1-3-1,,,"異人館エリア近く, 国際カード"
りそな銀行ATM 神戸支店,"34.691, 135.191",atm,ATM,神戸市中央区三宮町2-4-1,,,VISA/Plus/Cirrus/Maestro
関西みらい銀行ATM 神戸三宮支店,"34.692, 135.193",atm,ATM,神戸市中央区三宮町1-8-1,,,"地方銀行ATM, 国際カード"
みずほ銀行ATM 元町支店,"34.6885, 135.184",atm,ATM,神戸市中央区元町通3-1-1,,,VISA/Plus/Cirrus
セブン銀行ATM 神戸空港,"34.6328, 135.2238",atm,ATM,神戸市中央区神戸空港1,,,"24時間, 国際カード, 空港内"
三菱UFJ銀行ATM 神戸元町支店,"34.689, 135.181",atm,ATM,神戸市中央区元町通4-1-1,,,VISA/Plus/Cirrus
東遊園地（広域避難場所）,"34.6939, 135.1959",evacuation,避難場所,神戸市中央区加納町6丁目,,,"広域避難場所, 中央区, 収容多数"
兵庫県立総合体育館（避難場所）,"34.6935, 135.1681",evacuation,避難場所,神戸市中央区中野通1-2-1,078-371-2300,,"指定避難所, 屋内施設"
神戸市立葺合高校（避難場所）,"34.6955, 135.2011",evacuation,避難場所,神戸市中央区二宮町4-1-1,078-221-1222,,"地域避難所, 中央区指定"
神戸市総合運動公園（広域避難場所）,"34.6525, 135.0981",evacuation,避難場所,神戸市須磨区緑台,078-792-3900,,"広域避難場所, 大規模"
HAT神戸なぎさ公園（避難場所）,"34.693, 135.222",evacuation,避難場所,神戸市中央区脇浜海岸通2丁目,,,"広域避難場所, 海岸沿い"
神戸市立兵庫高校（避難場所）,"34.682, 135.163",evacuation,避難場所,神戸市兵庫区神田町2-1-1,078-651-1331,,"地域避難所, 兵庫区指定"
神戸市立須磨翔風高校（避難場所）,"34.68, 135.125",evacuation,避難場所,神戸市須磨区中落合2-13-1,078-793-7111,,"地域避難所, 須磨区指定"
神戸学院大学ポートアイランドキャンパス（避難場所）,"34.665, 135.207",evacuation,避難場所,神戸市中央区港島1-1-3,078-974-1551,,"広域避難所, 大学施設"
神戸市立垂水中学校（避難場所）,"34.636, 134.982",evacuation,避難場所,神戸市垂水区学が丘4-1,078-708-0085,,"地域避難所, 垂水区指定"
メリケンパーク（広域避難場所）,"34.6797, 135.1898",evacuation,避難場所,神戸市中央区波止場町2-2,078-325-2280,,"広域避難場所, 港エリア"
